median_house_value,population,latitude,longitude,total_units,vacant_units,median_rooms,mean_household_size_owners,mean_household_size_renters,built_2005_or_later,built_2000_to_2004,built_1990s,built_1980s,built_1970s,built_1960s,built_1950s,built_1940s,built_1939_or_earlier,bedrooms_0,bedrooms_1,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5_or_more,owners,renters,median_household_income,mean_household_income
153.4,4679,35.632607,-118.355773,2702,522,4.8,2.24,1.74,2.6,4,9.4,28.3,31.9,16.8,5.3,0.4,1.3,4.3,14,45.3,29.9,6,0.5,82.3,17.7,31.831,46.066
154.2,6158,35.586406,-118.482977,3735,852,4.6,1.94,2.05,1.7,2.6,3.5,18.7,33.9,28.4,7,2.1,2.1,0.2,18.3,52.1,23.9,4.9,0.6,71.9,28.1,23.826,37.81
201.5,6099,35.644279,-117.683411,2797,159,5.5,2.43,2.45,1.9,0,9,43.8,31.4,10,2.2,1.6,0,1.1,5.3,28.5,44.9,18.1,2.2,61.5,38.5,61.667,72.721
191.2,5094,35.630859,-117.683749,2174,235,6.1,2.44,2.99,0.5,1.3,14.3,18.3,21.9,14.7,27.5,1.6,0,0.6,2.1,9.4,58.4,24.2,5.4,75.5,24.5,72.243,79.37
181.4,8379,35.610144,-117.68564,3541,495,5.3,2.52,2.52,7.4,2.1,13.9,19.4,34,7.7,9.2,3.5,2.8,2,4,27.1,47.9,17.5,1.6,65.2,34.8,56.615,69.223
198.6,6672,35.61689,-117.657861,2979,330,5.4,2.7,2.11,1.2,0.9,10.5,51,19.1,13.7,2.8,0.3,0.5,1.8,4.7,19.5,58.5,15.5,0,61.8,38.2,59.068,68.858
165.8,6275,35.639916,-117.76071,2943,418,5.7,2.26,2.28,8.8,6.9,7.5,34.7,26.3,6.8,4.2,3.2,1.6,2.1,5.6,28.6,49,13.3,1.5,84.3,15.7,62.739,83.904
127.1,4198,35.122709,-117.969652,2130,465,5.2,2.94,3.67,13.5,8.7,21.2,19.5,21.9,14,0.8,0,0.5,0,2.2,25,49.5,19.7,3.7,69.2,30.8,49.614,58.724
97.7,2253,35.003738,-117.666052,1199,295,5,2.26,2.91,1.5,0.8,2.1,7.8,6.8,23,44.8,9.8,3.3,9.8,8.3,19.3,52.7,7.2,2.8,52.5,47.5,36.687,49.461
113.8,2226,34.922906,-117.93708,978,375,5.6,1.09,3.19,13.7,33.8,23.5,7.8,9,5.4,6.7,0,0,0,0.9,38.4,52.8,7.9,0,9.1,90.9,67.386,76.422
216.7,5997,34.860007,-118.187154,2031,164,6,3.74,3.09,15.7,12.8,51.6,13.8,0.8,0.8,1.3,3.2,0,1.4,0,9.9,52.9,30.6,5.1,76.5,23.5,81.417,85.102
131.1,7379,34.865429,-118.160025,2942,590,4.9,3.38,2.63,4.2,5.3,30.6,20.3,7.9,16.2,9.9,3.4,2,1.8,20.6,26.3,38.5,12.8,0,46.1,53.9,32.109,44.676
83.9,3589,35.049937,-118.177657,1610,373,4.2,2.93,2.71,5.2,4.7,4.8,18.4,15.2,16.3,23,3.8,8.6,9.6,14,36.5,30.7,7,2.2,51,49,28.184,42.592
177.2,1601,35.224959,-118.383661,957,227,5.6,2.17,3.41,5.7,8.5,26.1,21.6,14.4,9.6,1.5,7.3,5.2,1.4,11.9,20.4,47.6,16.9,1.8,82.6,17.4,43.269,72.987
230.2,3519,35.146995,-118.505228,1560,195,5.4,2.32,2.15,5.6,8.6,22,34,20.6,5.4,0,0,3.7,0,7,13.5,69.7,8.8,1,82.4,17.6,55.86,79.061
280.3,5474,35.08381,-118.576183,2660,455,5.8,2.79,2.86,20.2,10.6,29.4,19.9,8.3,6.4,2.6,1.1,1.5,1.6,2.4,15.9,60,14.2,5.9,87.7,12.3,63.685,87.128
353,5956,35.167158,-118.63013,3053,591,6.1,2.41,2.72,5.8,13.1,24.3,28.1,26.6,0.8,0,0,1.3,0,0,13.6,58.3,24.7,3.3,85.9,14.1,74.954,96.315
226,2877,35.27547,-118.924212,885,95,5.5,3.39,4.15,3.1,10.1,9.2,21.8,17.9,6.8,12,5.3,14,0,1.2,25,45.6,24,4.2,41.5,58.5,36.044,45.122
187.3,6401,35.192432,-118.84137,1268,192,5.5,4.93,4.77,19.9,35.1,15.9,3.9,4.3,3.3,5,4.3,8.4,0.8,4.2,15.4,40.1,35.3,4.3,60.2,39.8,33.779,45.817
117.7,6784,35.201431,-118.83755,1850,76,4.9,4.23,4.43,6.5,19.5,26.6,13.8,12.1,8.6,7.7,1.7,3.6,0,7.1,26.8,42.3,23.8,0,35.5,64.5,25.792,30.422
144.8,3895,35.203505,-118.828153,1036,191,4.6,4,4.73,8.5,0,4,16.6,32.1,13.5,8.5,10.5,6.3,0,23.5,19.9,47.6,9.1,0,41.8,58.2,34.824,38.941
123,5824,35.259122,-118.919185,1375,82,4.6,4.96,4.39,1.5,5.7,23.4,6.8,20,14.7,23.9,3.2,0.9,2.3,8.9,32.8,45.3,10.1,0.6,48.3,51.7,36.676,46.579
108.6,5152,35.112034,-117.901808,1473,398,4.5,2.3,2.55,5.1,0.9,7.1,20.4,19.6,13.2,22.4,1.2,10.2,2.9,19.3,34.6,40,2.7,0.5,61.3,38.7,33.886,45.083
359,3457,36.402803,-119.622217,1252,49,5.8,2.96,3.26,2,3.7,12.7,13.3,19.3,10,11.3,4.6,23.1,0.6,3.8,24.4,49.8,20.4,0.9,64.6,35.4,56.222,69.187
351.8,2271,36.366839,-119.834801,837,84,5.5,2.7,2.81,3.1,1.6,10.6,18.9,20.2,7.4,6.3,6.1,25.8,2,12.9,21.9,45.6,15.4,2.2,60.3,39.7,40.208,75.824
206.9,5281,36.317069,-119.777792,1804,57,5.5,3.17,2.99,0.6,1.8,19.5,23.1,32.9,18.5,2.7,1.1,0,0,2.7,29.6,50.1,16.4,1.3,56.2,43.8,60.429,70.352
193.8,5476,36.317365,-119.709386,1602,87,5.5,3.18,3.61,1.3,6.5,14.6,11.8,23.5,16.2,5.6,8,12.5,1.2,3.5,24.2,53.9,16.3,0.9,66.5,33.5,46.362,57.868
268.7,10021,36.353704,-119.665952,2987,142,6.3,3.25,3.15,24.4,35.8,20,9.3,6.9,1.6,0.7,0.3,1,0.7,0.3,8.5,48,32.6,9.8,74.3,25.7,85.203,95.432
270.7,5676,36.357601,-119.650925,2547,387,5.5,3.14,2.03,1.5,10.2,39.1,17.5,8.7,9.5,7.3,3.3,2.9,0.3,11.5,25.6,45.7,13.3,3.6,62.6,37.4,69.902,89.208
223.6,5321,36.357032,-119.639628,1954,73,6.1,2.83,3.03,0,7.3,31.2,8.2,20,18.6,13.3,0.9,0.5,0,2.6,8.7,72.1,14.4,2.3,78.6,21.4,65.762,75.604
191.1,4382,36.349511,-119.631222,1656,52,5.3,2.74,2.87,2,5.1,34.5,39.5,13.8,1.6,0.4,1.9,1.1,0,0.4,14.4,79.5,5.3,0.4,73.3,26.7,63.563,72.642
139.4,8057,36.335452,-119.646145,2988,255,4.6,2.87,2.95,3.9,0,0.5,8.3,26.6,10,13.1,12.4,25.2,1.8,6.2,57.1,30.1,4.6,0.2,36.4,63.6,37.002,43.742
242.8,4176,36.334843,-119.671415,1535,192,5.6,2.92,2.57,8.1,24.7,20.3,11,13.5,12.1,3.8,4,2.5,0,11.4,21.9,49.1,11.3,6.3,66.9,33.1,72.431,77.458
165.1,4424,36.318596,-119.663663,1339,121,4.9,3.73,3.65,1.5,5.2,8.1,19.8,24.8,19,18.4,1.5,1.8,0,11.4,34.7,40.6,12.9,0.4,37.2,62.8,33.443,38.013
120,6613,36.310299,-119.643075,1878,142,5,3.31,3.91,1.7,5.3,14.2,15.7,17.4,22.2,9.3,5.5,8.7,2.2,11.7,25,48.1,10.9,2.1,46.7,53.3,30.75,37.819
328.2,2507,36.267703,-119.626288,910,55,5.9,2.97,3.18,5.5,6.7,16.7,4.1,24.7,8.5,13,11,9.9,0.5,3.3,17,61.4,17.7,0,59.6,40.4,58.018,81.811
183.9,3761,36.102149,-119.577185,1103,96,5,3.44,3.79,12.1,15.3,5.7,23,12.7,13.4,13.3,1.8,2.6,0,12.3,18.5,49.4,19.8,0,23.7,76.3,26.555,41.578
147.7,3002,36.087844,-119.56416,792,21,5,3.68,4.28,7.3,23,17.3,18.3,3.5,13.9,8.7,5.4,2.5,0,4.8,17.7,66.7,10.9,0,57.5,42.5,34.049,42.244
137.3,4619,36.100944,-119.573559,1337,24,5.2,3.61,3.86,5.2,1,3.6,19.2,19.2,18.7,12.6,14.4,6.1,0,5.1,29.2,52.8,11,1.9,62.3,37.7,36.517,56.694
129.5,4516,36.135112,-119.860421,1159,91,5.5,4.25,4.51,3.4,7.6,24.5,18.4,10.2,9.1,11.1,10.3,5.4,2,4.5,16.5,48.3,26.5,2.2,60.9,39.1,42.895,54.582
162.3,9142,36.004264,-120.129442,3382,102,5,4.2,4.19,7.7,12.1,13,21.2,11.4,9.9,11.1,7.1,6.5,2.7,13.2,19.3,49,14.9,0.9,37.1,62.9,29.183,40.28
282.2,3121,39.16971,-122.924761,1613,580,4.7,2.58,2.68,4.5,8.7,9.9,12,18.1,18,9.4,2.8,16.6,2,13,33.8,41.7,8.9,0.6,82.2,17.8,42.243,53.05
287.8,3846,39.076622,-122.91675,1839,278,5.3,2.41,2.63,5.1,6.6,15.1,30.7,20.6,4.4,10.3,1.6,5.6,1.3,6.8,41.9,42,7.2,0.8,73.8,26.2,49.323,62.177
249.8,5574,39.050893,-122.919212,2908,507,4.9,2.42,2.03,1.7,1.5,8.3,10.7,33.1,14,18.3,1.3,11,1.2,10.4,45.8,32.2,8.6,1.9,59.9,40.1,37.19,61.756
167.4,2703,39.125156,-122.851186,1542,453,4.2,2.07,1.95,2.9,6.9,8.9,22.2,19.8,7.9,17,11.5,2.7,8.1,19.1,40.7,31.2,0.8,0,45.5,54.5,24.62,34.992
211.9,4343,38.973212,-122.650666,2697,627,4.3,2.09,1.76,6.8,5.7,17.8,13.1,16.5,18.5,10.1,8.6,2.9,2,31.1,30,31.6,2.9,2.3,58.3,41.7,28.902,38.943
117.4,4029,38.944386,-122.613476,2080,534,4.6,2.29,3,7.8,3.8,6.5,13.6,41.1,12.3,11.4,0.6,2.9,0,7.6,48.1,41.8,1.8,0.7,62.7,37.3,31.25,34.693
80.6,2894,38.938803,-122.629632,1672,458,4.2,2.28,2.84,5.6,0,2.3,20.6,29.2,22,12.1,6.3,1.9,2,26.7,41.4,24.5,5.4,0,55.4,44.6,32.941,41.157
100,4234,38.956422,-122.635315,2276,618,4.2,2.16,2.59,4,2.3,8.7,13,23.9,19.3,18.6,3,7.2,1.4,24.3,47.1,21.8,3.9,1.6,37.9,62.1,25.945,32.369
300.8,6059,38.969234,-122.742751,3755,1244,5,2.23,2.79,7.5,12.9,12.7,14.8,26.4,12.4,6,2.2,5.1,1,8.1,39.5,43.2,7,1.2,70,30,50.564,64.75
248.8,6045,38.980142,-122.850042,2581,395,5,2.62,3.4,1.4,10.8,12.7,19.7,26.7,11.5,9.1,4.5,3.6,0.6,5.1,39.1,47.4,5.4,2.4,71.4,28.6,43.537,56.548
269.4,3865,38.857456,-122.732945,2296,760,4.8,2.57,2.88,3.7,0.9,13.2,21.4,20.4,14.1,14.2,5.1,7.1,4.9,9.7,33.9,42.7,8.8,0,75,25,68.5,71.079
280.9,3198,38.881438,-122.587491,1634,293,5.1,2.79,2.27,7.6,9.5,12.5,21.1,27.9,8.6,7.6,2.6,2.6,2.1,9.6,30.7,50.9,5.3,1.3,72.3,27.7,49.907,68.088
287.6,7575,38.785728,-122.578735,3641,722,5.1,2.62,3.38,7.3,18.1,15.9,24.9,14.2,4.2,5.7,4.6,5.1,1.9,4.3,25.9,58.2,7.4,2.4,71.2,28.8,54.969,67.283
228.6,1822,41.036265,-121.021366,850,331,5.4,2.41,2.77,8.5,4.9,17.3,8.4,23.9,7.3,8.1,5.4,16.2,1.5,8.5,34.1,38.1,14.6,3.2,84.4,15.6,51.146,64.872
181.2,2534,40.36344,-120.935138,2139,1146,5.4,1.93,2.49,4,5.2,8.6,16.5,23.9,4,6.2,7.3,24.3,3.4,10.2,36,32.9,15.3,2.2,65.5,34.5,46.75,57.926
257.3,4422,40.380289,-120.620659,1726,233,5.5,2.42,3.77,2.8,4.9,14.8,19.4,26.1,8.4,6.4,5.2,12,1.9,3.9,20.7,57,15.6,0.9,81.1,18.9,65.721,74.775
169.5,3616,40.419545,-120.635781,1914,168,4.7,2.72,1.98,4.1,12.7,13.5,21.1,13.8,7,9.4,14,4.4,5.3,13.1,28.3,43.2,7.8,2.4,53.4,46.6,60.203,64.429
179.3,1939,40.412846,-120.653532,1071,138,4.4,2.23,2.66,0,1.7,0,9.1,12.3,11.2,28.8,14.7,22.3,1.9,14.5,43,29.2,11.5,0,32.8,67.2,26.397,38.483
188.9,4146,40.430196,-120.65963,2146,66,5.1,2.4,2.25,6.5,11,5,18.2,16.3,13.6,3.2,10.6,15.7,6.8,12,15.7,54.8,10.7,0,62.1,37.9,52.3,62.887
285.5,9422,40.399407,-120.500005,494,126,5.6,2.22,2.26,2,12.1,8.7,22.1,13.2,8.3,8.5,4.3,20.9,0,2.8,42.7,45.7,7.1,1.6,74.5,25.5,62.7,68.185
280.9,3213,40.292665,-120.512561,1112,73,5.5,3.04,2.07,7.7,2.3,27,25,22.9,5.7,3.8,1.3,4.3,1,4.9,20.1,65.8,5.6,2.6,79.5,20.5,72.015,79.357
181.6,3781,40.105073,-120.156303,1264,338,4.9,2.43,1.7,3.7,0.2,20.9,15.4,14,8.7,26.4,5.6,5,8.5,10,37.4,33,10.1,0.9,70.4,29.6,42.25,54.802
409.8,4731,34.259055,-118.292918,1744,100,4.3,3.19,2.71,2.5,0.6,1.9,8.3,7.2,9.3,22,17.2,31,1.2,24.1,37.8,27.8,8.1,1,54.4,45.6,62.813,77.563
491.3,3664,34.266714,-118.290785,1375,119,5.6,2.96,2.05,0,11,3.5,1.9,13.1,28.5,22.9,5.8,13.3,0.6,2.9,14,54.5,26.3,1.7,88.1,11.9,90.563,111.875
298.4,5990,34.253359,-118.290013,2357,133,3.4,3.23,2.84,0.5,0.8,12.1,24.7,18.7,15.9,8.5,6,12.7,5,37.4,46,8,2.8,0.8,18.9,81.1,41.923,49.754
365.2,3363,34.251142,-118.282327,1300,120,4.3,2.5,2.22,2.9,0,10.9,16.7,6.9,4,20.3,14,24.2,5.1,25.4,39,28.8,1.7,0,40.1,59.9,48.224,55.521
501.7,4199,34.245913,-118.270994,1578,66,5.4,2.76,2.24,2,0.6,2.3,9.4,7.2,11,50.6,7,9.8,0,3.5,29.2,55.4,9.3,2.6,87.6,12.4,64.009,91.057
465,3903,34.245614,-118.28955,1510,123,5,2.77,2.54,0.4,0,11.4,9.9,8.7,21.3,19,14.6,14.8,0.7,11.8,31.1,36.5,18.9,1.1,71.1,28.9,69.856,72.941
552,1740,34.224718,-118.356468,659,0,5.8,2.84,1.58,1.5,0,10.3,1.7,3.6,17.8,61.6,0,3.5,0,7.6,11.7,54.2,20,6.5,82.1,17.9,68.849,93.04
471.9,3648,34.21387,-118.344154,1309,0,5,2.58,2,0,3.1,0,3.5,50.3,12.2,28.4,0.9,1.5,0,0,42.1,49.4,8.5,0,76.6,23.4,101.875,106.056
441.5,1731,34.209918,-118.349582,577,0,4.9,3.23,2.25,0,2.3,0,9.4,9.2,8.8,23.2,24.6,22.5,0,23.6,30.8,33.8,11.8,0,71.6,28.4,47.422,76.118
582.9,3851,34.239378,-118.349745,1283,67,5.3,2.81,2.67,0.8,1.9,3.5,17.8,18.6,10.2,19.4,18.8,9,3.4,2.5,28.7,41.8,14.7,8.9,70.3,29.7,65.714,73.492
445.5,2670,34.269903,-118.30727,971,54,5.4,3.32,2.49,0,0.6,0,3.8,3.6,15.7,47.7,20.4,8.2,0.5,0.3,18.9,67,12.3,0.9,85.1,14.9,83.102,86.039
402.3,4751,34.263373,-118.307572,1682,110,5.2,3.23,2.52,1.9,4.5,3.6,9.3,11.1,6.7,29.9,19.2,13.7,0.6,8.1,26.1,54.9,7.7,2.6,72.1,27.9,79.457,82.678
467,6150,34.268172,-118.332581,2326,55,5.7,3.24,2.58,0.6,0,1.5,8.5,8.9,28.7,30.4,12.3,9.2,3.4,14.8,17,45.2,15.7,4,67.8,32.2,73.606,89.499
369.7,4085,34.282457,-118.392536,838,99,6.1,4.74,4.75,1.7,2.1,10.9,21.4,4.2,48,9.8,0,2,0,3.9,6.3,48.6,31.6,9.5,79.8,20.2,68.728,79.292
230.7,5412,34.275025,-118.406267,1519,150,5.1,3.98,3.75,2.9,1.7,12.4,34.7,10.9,12.3,12.4,9.4,3.2,2.2,5.9,47.1,36.1,8.3,0.4,42.2,57.8,40.516,48.804
350,5256,34.272717,-118.398668,1344,96,5,4.66,3.58,6,11.3,4.4,22,17,16.6,19.5,3.3,0,6,15.4,33.6,32.1,10.4,2.5,37.6,62.4,42.143,50.424
366.7,4175,34.280515,-118.380459,1207,72,5.7,3.09,2.86,0,0.9,0.6,29,10.3,22.8,18.5,9,8.9,1.4,6.5,18.6,45.2,26.7,1.5,82.2,17.8,76.773,76.481
314.7,4780,34.28576,-118.416374,925,34,5.7,5.1,3.96,0,8.2,0.6,2.6,4.1,29.3,41.8,11.4,1.9,8.3,6.1,9.3,47.1,21.5,7.7,76,24,46.152,55.418
312.9,5210,34.279332,-118.41116,1114,75,4.8,5.43,3.88,0,3,19.6,20.1,4.1,7.7,36.4,9.1,0,1.3,21.7,29.9,31.4,11.9,3.8,43,57,34.875,47.243
187.5,3375,34.283877,-118.403375,726,48,5.5,4.83,4.33,5.8,4.5,16,30,11.7,14.6,3.3,11.2,2.9,1.4,1.2,29.2,43.4,14.6,10.2,65.6,34.4,47.328,69.229
337.3,4921,34.277523,-118.428643,927,32,5.6,5.71,5.97,1.2,1.3,0,5.2,3.5,25.6,31.5,18,13.8,1.5,2,15.1,53.1,23,5.3,72.7,27.3,59.646,69.097
318,5998,34.273076,-118.41901,1231,107,5,4.78,5.3,0.6,0,4.9,11.7,6.9,6.7,49.2,17,3.1,0,18.4,21.3,47.3,8.9,4.1,62.4,37.6,49.278,59.073
331.9,3357,34.266435,-118.432308,690,80,5.3,5.58,4.09,5.1,0,5.9,0,0,6.7,37.1,34.8,10.4,3.6,6.5,21.9,47.1,14.9,5.9,67.9,32.1,59.207,65.069
279.6,3282,34.257555,-118.433024,648,34,5.1,4.54,5.87,2.5,0,0,0,5.7,8.6,56.9,21.6,4.6,0,8.8,38.1,23.9,24.5,4.6,53.9,46.1,48.782,52.75
377.1,3236,34.263713,-118.429086,607,17,4.9,5.95,4.33,0,0,6.6,3.6,10.9,8.2,31.6,32,7.1,11,4.8,31.5,46.5,3.8,2.5,37.5,62.5,34.487,46.065
365.9,3672,34.26028,-118.419368,726,18,5.5,4.89,4.16,5.8,2.8,0,1.9,2.2,12,45.5,14.7,15.2,0,5.8,38,34.2,16,6.1,52.7,47.3,39.25,48.828
295,4208,34.268228,-118.415389,948,35,5.1,4.9,4.49,2.1,0,1.8,3.6,2.8,4.2,28.4,53.8,3.3,0,16.2,35.2,42.1,4.2,2.2,24,76,29.676,37.62
227.1,2397,34.256534,-118.402714,528,24,4.7,5.6,3.82,7.6,0,6.1,36.4,0,22.2,7.8,8.1,11.9,0,14.2,61.6,19.9,4.4,0,39.7,60.3,41.848,47.425
243.2,4219,34.263869,-118.405053,1151,82,5.1,3.66,3.58,12.9,0,5,44,14.4,22.5,1.1,0,0,0,7.7,41.5,33.4,16.7,0.6,67.4,32.6,52.564,58.743
304,5328,34.250716,-118.412292,1046,0,5.9,4.96,4.87,0,2.5,0,0,13.3,16.2,41.3,17.8,9,0.6,0,20.1,53.8,19.8,5.7,61.9,38.1,60.425,62.246
357.1,3514,34.246499,-118.416118,765,52,4.8,5.49,4.48,0,0,4.3,16.6,1.3,25.9,32.5,7.5,11.9,1,18.7,38.8,23.5,16.6,1.3,36.7,63.3,45.859,54.076
285.5,2277,34.24517,-118.419865,592,79,4.7,3.36,3.38,3.9,0,1.4,21.6,8.8,18.6,20.8,20.8,4.2,5.7,19.3,35.1,35.1,2.7,2,31.2,68.8,33.271,34.478
425.8,3152,34.324265,-118.438907,980,99,6.7,3.03,3.71,0,3.5,0.6,24.6,23.6,34.6,11,0.6,1.5,0,6.2,9.8,46.6,30,7.3,87.9,12.1,89.063,88.206
413.4,5557,34.321132,-118.427479,1413,174,6.3,3.99,5.7,0,5.9,7.5,8.9,13.9,18.8,35.2,5.7,4.1,0.6,0,15,51.5,26.9,6.1,84.3,15.7,81.067,89.394
337,4334,34.320802,-118.407765,1592,111,6,3.14,2.95,0,5.8,13.2,30.7,23.5,17.2,8.6,1,0,0,0.7,8.6,61.4,25.1,4.2,80.6,19.4,83.647,89.679
379.2,3493,34.306146,-118.421448,907,24,5.7,3.81,4.08,0,9,7.5,9.8,10.8,36.3,26.6,0,0,0,0,14,60.9,23.7,1.4,84.9,15.1,65.402,66.072
288.1,5880,34.303544,-118.428415,1598,141,4.9,3.42,3.2,5.3,2.1,4.4,21.1,3.8,15,33.1,12.4,2.7,4.6,14.7,32.5,40.6,6.3,1.3,49.6,50.4,44.175,54.887
295.3,3966,34.316644,-118.446372,1073,145,4.9,3.67,3.16,0,6.7,8.3,45,6.6,9.9,18.3,4.5,0.7,6.2,6.3,39.2,41.6,6.7,0,62.6,37.4,55.811,61.032
172,2933,34.309971,-118.437239,849,110,4.1,3.3,2.83,7.4,18,5.5,29.8,26.1,5.5,5.2,0,2.4,2.1,34.5,46.2,17.2,0,0,39.8,60.2,32.563,32.837
257.5,3463,34.313216,-118.44008,1015,131,4.4,2.79,3.93,10,4.4,12.1,20.9,26.8,6.5,12.4,6.8,0,0.7,27.8,37,23.2,11.3,0,22.7,77.3,43.462,47.225
256.4,5837,34.30834,-118.459743,1446,56,5.8,4.24,3.16,6.8,2.5,7.2,23.9,7.2,15.5,32.1,3,1.9,3,2.9,22.2,39.5,26.8,5.6,79,21,51.885,62.126
630.7,2979,34.307703,-118.510465,992,0,7.4,3.02,4.31,0,0.4,3.4,23.3,32.1,37.9,2.9,0,0,0,0,0.8,13.5,56.8,28.9,91.9,8.1,103.75,120.777
429.8,5020,34.302669,-118.468707,1198,109,5.2,4.12,3.88,1.8,3.2,4.7,18,26.5,12.7,20.9,8.3,4,1.8,20.7,18.1,33.1,23.2,3.2,50.1,49.9,50.649,60.398
625.4,2317,34.298841,-118.508506,803,35,7,3.02,3.09,0,0,1,1.9,26.8,69,1.4,0,0,0,0,0.7,41.3,43.3,14.6,92.7,7.3,118.516,119.847
589.3,3236,34.28552,-118.506998,1067,0,6.4,2.86,3.38,0,1.5,2.5,2.6,2.6,42.7,47.4,0,0.6,0,0,9.3,53.8,30.4,6.6,92.9,7.1,76.771,97.326
842,4320,34.290682,-118.519771,1339,56,8,3.37,4.36,7,5.4,24.9,27,15.2,11,7.6,1.9,0,0,0,1,21.8,42.9,34.3,98.9,1.1,116.528,154.291
613.3,3389,34.289166,-118.492491,1235,71,6.6,2.99,2.04,0,0,0,0,9.1,64.9,22.8,0,3.2,0,0,3.2,56,28.7,12,96,4,106.25,125.55
483.3,3237,34.279762,-118.493928,957,9,6.2,3.43,3.16,0,2.7,0,6.3,4,19.9,67.2,0,0,0.8,0,4.4,31.9,58.8,4.1,94.6,5.4,103.125,111.169
369.6,3890,34.292628,-118.455297,952,29,5,4.34,4.48,3,4.4,2.3,10.1,15.4,23.4,33.4,5.8,2.1,8.8,20.3,20.9,33.1,13.7,3.3,62.3,37.7,46.339,57.134
460.6,2853,34.289604,-118.459964,730,44,6,3.64,4.46,0,9.5,46.8,5.1,1.8,2.7,26.7,6,1.4,0.8,0.8,10.3,57.1,30,1,89.9,10.1,76.611,95.219
345.7,3247,34.302804,-118.448093,751,30,5.7,4.27,4.61,1.3,0,0,8.5,6.1,21.2,53.9,8.8,0.1,0,3.3,17.8,64.2,13.8,0.8,74.8,25.2,65.67,76.375
329.4,5404,34.297649,-118.450879,1313,82,5.7,4.03,3.83,4.6,21,5,15.2,2.1,11.8,23.7,12.3,4.3,1.3,3.8,17.1,48.4,26.7,2.7,80.5,19.5,56.806,65.451
616,2230,34.279766,-118.541598,817,0,6.7,2.83,3.98,0.6,0,0,5.1,63.6,17.9,2.7,5.8,4.3,0,0,0,44.4,40.4,15.2,94.6,5.4,98.102,124.107
619.2,3430,34.280066,-118.554729,1299,50,6.8,2.86,3.77,0.6,0.5,2.2,15.2,67.7,8.3,3.3,1.8,0.5,0,0,5.7,35.1,45.3,13.9,80.5,19.5,97.411,114.631
630.5,1698,34.294097,-118.545525,598,0,7.3,3.24,3.14,0,0,2.3,12.7,12.2,62.7,8.7,0,1.3,0,0,2.3,38,47.7,12,97.7,2.3,106.667,121.845
656.8,5551,34.289618,-118.563671,1927,0,6.2,2.89,3.04,0,12.5,35.1,47.4,2.1,0,0,2.5,0.5,0,0,7.4,51.6,29.6,11.4,91.4,8.6,101.985,114.591
832.5,4895,34.283404,-118.579023,1835,161,5.7,3.08,2.1,42.1,51.1,5.3,0,0,0.8,0.7,0,0,0,12,21.6,21.1,30.7,14.6,67.5,32.5,120.294,156.761
311.8,2492,34.274642,-118.462284,754,19,5.2,3.11,1.97,0,0,2.7,9.7,35.4,3.2,39,10.1,0,0.8,4.9,42.7,34.1,14.2,3.3,90.9,9.1,47.147,66.12
380.9,2669,34.277023,-118.475644,899,0,5.5,2.88,2.69,0,2.1,9.2,14.5,14.7,3.2,51.2,0.8,4.3,0,2,20.4,49.6,28,0,79.6,20.4,71.125,77.418
314.7,3720,34.268987,-118.45627,1108,88,5.2,3.53,3.53,7.1,1.4,14.4,5.6,7.6,18.1,35.1,5.6,5.1,1.3,2.8,36.6,33,24.1,2.2,75.4,24.6,65,82.529
344.6,4303,34.274133,-118.444168,1091,18,5.4,4.55,4.13,0.8,5.3,6.4,14.5,0.8,13.3,35.9,14.4,8.5,1.3,8.9,38.8,22.5,20.8,7.7,59.6,40.4,56.083,59.615
390.2,5020,34.258737000000004,-118.452904,1328,40,5.5,3.95,3.54,0,4.1,1.7,8,6.3,9.2,69.5,1.2,0,2.3,2.9,11.5,55.6,27.1,0.5,72.7,27.3,61.287,78.637
422.1,4493,34.261743,-118.481467,1337,0,5.9,3.42,3.63,0.8,0.7,0.7,2.1,16,14.9,63.1,1.7,0,0,1,19.7,45.2,27.8,6.3,77.9,22.1,71.875,86.007
426.2,4565,34.253832,-118.481429,1469,90,5.4,3.12,2.74,0,0,4.7,2,8.6,9.4,67.8,6.8,0.7,0.6,6.9,9.5,62.8,15.7,4.4,80.4,19.6,74.356,92.076
475.2,2982,34.268237,-118.494967,946,35,5.5,3.12,3.27,0,0,0,5.8,13.2,19.1,52,8.1,1.7,4,8,12.8,48.5,21.6,5.1,66.5,33.5,75.801,87.83
475,3410,34.274608,-118.507436,1155,46,6.1,3.01,3.35,0.6,0,0,5.2,4.2,16.1,69.3,2.9,1.7,0,3.6,3.7,52.3,36.6,3.7,86.7,13.3,84.375,94.106
455.5,5213,34.268255,-118.513608,1882,125,5.6,2.86,3.26,1.7,5.4,2.9,4.4,5,10.9,55.2,9.7,4.7,3.2,6.7,22.9,50.7,13.8,2.6,66,34,81.045,92.352
677.7,5859,34.263581,-118.548062,1991,89,7.3,3.13,3.28,0,3.3,8.3,7,14.6,57.8,8.3,0.5,0.3,0,0,0.6,22,59.3,18.1,94.3,5.7,129.717,174.847
463.1,3375,34.253389,-118.535198,1458,56,5.1,2.79,2.11,0,0,10.5,21.1,50.4,15.7,2.3,0,0,9.2,9,15.8,40.3,24.2,1.4,61.1,38.9,67.548,84.989
